showid,name,season,release_year,episode_count,synopsis
70153404,Friends,Season 1,1994,24,"Season 1 of the hit sitcom introduces us to hapless Ross, spoiled Rachel, quirky Chandler, dim-witted Joey, free-spirited Phoebe and uptight Monica."
70153404,Friends,Season 2,1995,24,"Rachel gets jealous of Ross's new girlfriend, Monica dates an older man, and Joey stars on a soap opera as the hit sitcom hits its stride in Season 2."
70153404,Friends,Season 3,1996,25,The shenanigans of the tightest circle of friends -- including Chandler and Joey adopting a duck -- continue as Season 3 plays out.
70153404,Friends,Season 4,1997,24,"Chandler makes amends to Joey by spending Thanksgiving in a box, Monica finally lands her dream job of head chef, and Phoebe supports her brother."
70153404,Friends,Season 5,1998,24,"The friends continue to haphazardly navigate their way through Manhattan, landing in more improbable situations than anyone has a right to imagine."
70153404,Friends,Season 6,1999,25,"In Season 6 of the Emmy-winning series, Ross doesn't tell Rachel that their accidental marriage was never annulled, but he does tell Phoebe."
70153404,Friends,Season 7,2000,24,Monica and Chandler prepare for their wedding but must deal with a competition between Rachel and Phoebe to be Monica's maid of honor.
70153404,Friends,Season 8,2001,24,"Rachel is pregnant and faces single parenthood, while Joey agonizes over his feelings for her. Chandler and Monica are now dealing with married life."
70153404,Friends,Season 9,2002,22,Rachel finds herself surprisingly adept at taking care of Emma but struggles to define her complicated relationships with Joey and Ross.
70153404,Friends,Season 10,2003,17,"The touching final season of this Emmy-winning sitcom wraps up the stories of the Manhattan sextet, including Ross and Rachel's on-and-off romance."
70204995,InuYasha,Season 1,2000,27,"Teenager Kagome Higurashi tumbles into a cursed well and finds herself in ancient Japan, surrounded by ghouls and goblins."
70204995,InuYasha,Season 2,2001,27,"Inuyasha, Kagome and their crew continue on their quest to find and keep safe the shattered shards of the powerful Shikon Jewel."
70204995,InuYasha,Season 3,2002,28,Inuyasha and the crew must contend with the brutal Band of Seven after they're resurrected by Naraku using shards of the Shikon Jewel.
70204995,InuYasha,Season 4,2003,28,"Kagome and Inuyasha face enemies, including Hoshiyomi, the Infant and Hakudoshi in their quest to regain the shards of the Shikon Jewel."
70204995,InuYasha,Season 5,2003,28,"Past threats return with a vengeance and new adventures await, while Kagome has a deep realization regarding her feelings for Inuyasha."
70204995,InuYasha,Season 6,2004,29,"The gang crosses paths with Princess Abi, a phoenix princess attacking humans to save her mother. Kagome is hurt by Inuyasha's feelings for Kikyo."
70155618,Gilmore Girls,Season 1,2000,21,"Young mom Lorelai Gilmore enjoys a relationship with her precocious teenage daughter, Rory, that's based on friendship as much as maternal love."
70155618,Gilmore Girls,Season 2,2001,22,"Christopher becomes more involved in Rory and Lorelai's lives, Dean faces a rival for Rory's affections and wedding bells ring in Stars Hollow."
70155618,Gilmore Girls,Season 3,2002,22,"Torn between two boys, Rory focuses on college applications. Meanwhile, Lane falls in love, Lorelai meets a new man and the inn faces uncertainty."
70155618,Gilmore Girls,Season 4,2003,22,"Rory starts her first year of college and Dean begins a new life. Meanwhile, Lorelai launches her new business venture and Luke finds his soul mate."
70155618,Gilmore Girls,Season 5,2004,22,"Rory makes a decision that Lorelai can't tolerate, and later joins a new circle of friends. Meanwhile, Lorelai finds happiness in a new romance."
70155618,Gilmore Girls,Season 6,2005,22,Lorelai and Rory aren't on speaking terms. Christopher resurfaces. Luke's past impacts his current relationship. Lane takes a big step.
70155618,Gilmore Girls,Season 7,2006,22,"Rory struggles with long-distance love, Lane gets a shock, Richard suffers a setback, Luke faces a legal issue and Lorelai realizes who Mr. Right is."
70136120,The Office (U.S.),Season 1,2005,6,"This American remake of Ricky Gervais's hit BBC sitcom stars Steve Carell as Michael Scott, the deluded manager of a Pennsylvania paper company."
70136120,The Office (U.S.),Season 2,2005,22,"The Dunder Mifflin crew is subjected to a sexual harassment workshop, a disastrous Christmas party and another round of ""the Dundies."" Michael lets the cat out of the bag about Jim's crush on Pam and finds a nasty surprise on the rug in his office."
70136120,The Office (U.S.),Season 3,2006,23,Season 3 finds Jim and Pam wading through the aftermath of their Casino Night kiss and Michael accidentally outing Oscar to the office.
70136120,The Office (U.S.),Season 4,2007,14,"Jim and Pam finally get together but try to keep the news under wraps. Dwight, Angela and Andy form a tortured love triangle."
70136120,The Office (U.S.),Season 5,2008,28,"In the fifth season of this sitcom, control freak Dwight attempts to pull off another power play, and Jim and Pam wrestle with their relationship."
70136120,The Office (U.S.),Season 6,2009,26,The Dunder Mifflin crew plods through another fiscally irresponsible year under the dubious leadership of misguided middle manager Michael Scott.
70136120,The Office (U.S.),Season 7,2010,26,"Michael prepares to part ways with Dunder Mifflin, while newlyweds Jim and Pam adjust to life as parents in Season 7 of the hit workplace comedy."
70136120,The Office (U.S.),Season 8,2011,24,"Even in the wake of honcho Michael Scott's departure, the staff doesn't let a little thing like the boss's exit disrupt their feuding and hijinks."
70136120,The Office (U.S.),Season 9,2012,23,"The employees at Dunder Mifflin Paper Company continue to deal with warring egos, office pranks, boredom and wildly inappropriate behavior."
70177043,Justice League,Season 1,2001,26,"In this animated series, Superman, Batman, Wonder Woman, The Flash, Green Lantern, The Martian Manhunter and Hawkgirl fight crime as the Justice League."
70143830,The Big Bang Theory,Season 1,2007,17,"Leonard falls hard when aspiring actress Penny moves in across the hall, but finding the confidence to ask her out proves tougher than he thought."
70143830,The Big Bang Theory,Season 2,2008,23,"Sheldon forms the beginnings of a solid friendship with Penny, whose relationship with Leonard grows deeper but a lot more complicated."
70143830,The Big Bang Theory,Season 3,2009,23,The group's dynamic begins to change amid Leonard and Penny's on-off relationship and Howard's budding romance with Bernadette.
70143830,The Big Bang Theory,Season 4,2010,24,"Coupledom takes center stage as Sheldon spends time with Amy Farrah Fowler, Howard tries to woo Bernadette, and Leonard and Penny seek a new normal."
70143830,The Big Bang Theory,Season 5,2011,24,"As the women of the group form a bond of their own, Sheldon takes baby steps forward with Amy, and Howard prepares to boldly go on a new mission."
70143830,The Big Bang Theory,Season 6,2012,24,"In between the group's usual hijinks, newly minted astronaut Howard adjusts to married life and Sheldon reassesses his relationship with Amy."
70143830,The Big Bang Theory,Season 7,2013,24,"After Leonard returns, the gang faces off in Raj's scavenger hunt, celebrates Thanksgiving at Mrs. Wolowitz's and tries to score tickets to Comic Con."
70143830,The Big Bang Theory,Season 8,2014,24,"As the gang deals with personal and professional ups and downs, Penny tries out a new career path in between relationship hiccups with Leonard."
70143830,The Big Bang Theory,Season 9,2015,24,"Adulthood continues to catch up to the whole gang and their relationships take new and exciting steps, even as Sheldon tries to resist big changes."
70143830,The Big Bang Theory,Season 10,2016,24,"In Season 10, a wedding, a baby, a government assignment and some new living arrangements will take the group into uncharted territory."
70143830,The Big Bang Theory,Season 11,2017,24,"The gang's lives and relationships continue to evolve amid a planned walk down the aisle, an unexpected addition and other milestones big and small."
70143830,The Big Bang Theory,Season 12,2018,24,"In the show's final season, the gang's only constant is change amid the pursuit of Nobel Prize dreams and their ever-evolving relationship as a team."
70143811,Gossip Girl,Season 1,2007,18,"When two once-close friends become rivals, their battle for power is publicized to their entire prep school thanks to Gossip Girl's dirt-dishing blog."
70143811,Gossip Girl,Season 2,2008,25,"A new arrival threatens the friendship between Serena and Blair, and shocking secrets are revealed as Gossip Girl continues her outrageous blog."
70143811,Gossip Girl,Season 3,2009,22,The juicy buzz oozing from Gossip Girl's blog continues as Dan begins dating a film star and Serena looks to get even after a falling out with Chuck.
70143811,Gossip Girl,Season 4,2010,22,"As the season kicks off, Blair and Serena are enjoying summer vacation in Paris, where Blair unexpectedly finds romance with a handsome young man."
70143811,Gossip Girl,Season 5,2011,24,"When Serena lands a dream summer job in Hollywood, she brings along her Upper East Side attitude, as Chuck and Nate learn when they come for a visit."
70143811,Gossip Girl,Season 6,2012,10,"Never shy about posting on her juicy blog, the Gossip Girl keeps dishing the dirt on the lives of a group of privileged young adults in New York."
70204970,DEATH NOTE,Season 1,2006,37,"When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it."
70142394,The Fairly OddParents,Season 1,2009,20,"Timmy and his fairy godfamily deal with more wacky chaos, including Poof's anti-fairy opposite, Foop, who vows magical revenge on just about everyone."
70143836,Breaking Bad,Season 1,2008,7,"Diagnosed with terminal cancer, a high school teacher tries to secure his family's financial future by producing and distributing crystal meth."
70143836,Breaking Bad,Season 2,2009,13,"Teacher turned meth dealer Walter climbs higher in the drug game, which draws attention from competing cartels and imperils his DEA brother-in-law."
70143836,Breaking Bad,Season 3,2010,13,"The previous season left Walter White on unstable ground. But for the sake of his family, he continues cooking crystal meth on the down-low."
